City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Sovetskiy,RU,2022-06-17 01:48:39,61.3614,63.5842,64.29,47,11,5.37,few clouds
247,Altoona,US,2022-06-17 01:48:40,40.5187,-78.3947,82.65,89,93,6.91,overcast clouds
248,Manta,EC,2022-06-17 01:48:40,-0.95,-80.7333,73.18,78,75,11.5,broken clouds
249,General Roca,AR,2022-06-17 01:48:41,-39.0333,-67.5833,52.63,40,100,31.43,overcast clouds
250,Young,UY,2022-06-17 01:48:41,-32.6833,-57.6333,55.22,89,100,1.25,overcast clouds
251,Dharchula,IN,2022-06-17 01:48:42,29.85,80.5333,76.41,57,68,0.67,broken clouds
252,San Policarpo,PH,2022-06-17 01:44:50,12.1791,125.5072,84.24,74,42,6.55,scattered clouds
253,Caravelas,BR,2022-06-17 01:42:23,-17.7125,-39.2481,68.59,77,0,4.61,clear sky
254,Merauke,ID,2022-06-17 01:48:43,-8.4667,140.3333,83.46,73,84,13.13,broken clouds
255,Inhambane,MZ,2022-06-17 01:48:43,-23.865,35.3833,59.97,71,0,7.0,clear sky
256,Grass Valley,US,2022-06-17 01:48:43,39.2191,-121.0611,76.59,26,0,9.22,clear sky
257,Mar Del Plata,AR,2022-06-17 01:38:41,-38.0023,-57.5575,44.1,90,0,5.75,mist
258,Gwanda,ZW,2022-06-17 01:48:44,-20.9333,29.0,47.57,95,0,5.1,clear sky
